user_id,account,password,birth_year,gender,favorite_movies
1,user_000001,fNX89c,1958,Female,260|2571|1196|541|1214|1240|1253|1200|1199|741
108,user_000108,qr5C9X,1976,Female,3555|1449|2948
109,user_000109,bd60ye,1994,Male,1282|2405|1230
110,user_000110,GomUne,1977,Male,3578|47|805
111,user_000111,RVDAcr,1976,Other,50|1188|2762
112,user_000112,qVDz5Z,1956,Male,3435|913|2987
113,user_000113,VZYC2s,1999,Female,2028|3555|3753
114,user_000114,cjBlUZ,1985,Male,1282|2384|34
115,user_000115,VDxboT,1992,Female,70|3101|611
116,user_000116,XHwV29,1958,Female,2826|1388|858
117,user_000117,X491Zp,1974,Female,316|2645|1238
118,user_000118,2SjGcG,1991,Male,497|3745|1269
119,user_000119,aFWri2,1958,Male,2059|837|2354
120,user_000120,h20VQS,1999,Male,2542|527|2804
121,user_000121,xbMipg,1971,Male,2657|1214|1356
122,user_000122,unC5H1,1968,Female,3527|2858|1101
123,user_000123,bVDud5,1958,Female,948|1956|2020
124,user_000124,ir5SXX,1965,Female,902|2302|2912
125,user_000125,f6eA5O,1980,Female,3104|2741|1466
126,user_000126,vrqlAS,1951,Male,3668|390|1094
127,user_000127,rKGSXu,1967,Male,3418|3578|3267
128,user_000128,28YJyk,1953,Male,2657|852|3132
129,user_000129,7uFUD7,1952,Male,47|1552|2391
130,user_000130,ypClrf,1971,Male,70|3633|3153
131,user_000131,OmyyBb,1972,Female,2696|2697|1245
132,user_000132,hDlKmF,2008,Male,3157|223|2797
133,user_000133,fkxrlK,1950,Female,3565|2997|1727
134,user_000134,k0cwuD,2009,Male,480|1429|2334
135,user_000135,Ig8eRu,1953,Male,785|3176|2747
136,user_000136,zHhAKu,1967,Male,2463|2088|2384
137,user_000137,EU6PGL,2000,Male,2692|2268|648
138,user_000138,vqZJxQ,1968,Female,2194|2912|1466
139,user_000139,qc4T5T,1968,Female,1391|2193|3539
140,user_000140,ezhfoS,1964,Female,1212|3751|918
141,user_000141,T4iHCU,1998,Female,490|3578|1250
142,user_000142,4H7xMT,1971,Female,50|2321|3745
143,user_000143,afswQO,1987,Male,349|380|1777
144,user_000144,k2rM10,1966,Male,2763|2686|3185
145,user_000145,SlDhaP,1974,Male,2716|2858|2599
146,user_000146,ImMBMb,1978,Female,2468|3099|3483
147,user_000147,jBNX8e,1979,Other,1036|1240|2959
148,user_000148,1RwOUw,1991,Male,2366|2497|2094
149,user_000149,U1uzSg,1972,Male,1517|111|3317
150,user_000150,T0NIf5,1964,Female,1234|1096|1286
151,user_000151,fn8wiN,1957,Female,3698|3072|1079
152,user_000152,SbW78o,1986,Female,10|1968|663
153,user_000153,VCzGFE,2003,Female,2572|2762|3253
154,user_000154,jC4aIt,1976,Male,3203|951|1093
155,user_000155,Xl5Mq4,2009,Male,2245|141|934
156,user_000156,jPKjxz,1977,Female,380|2961|597
157,user_000157,9BPVTo,1976,Male,2959|1198|2414
158,user_000158,vftCWz,1970,Male,1812|3713|912
159,user_000159,yRWhqX,1955,Female,1234|2688|3753
160,user_000160,p4KVnL,1990,Other,1282|3916|1286
161,user_000161,yLREJX,2001,Male,670|1252|281
162,user_000162,Qy6VPJ,1993,Female,1722|1918|1573
163,user_000163,naJMiT,1979,Male,3578|3020|1625
164,user_000164,8RBUNk,1976,Male,858|943|2947
165,user_000165,QEUR4Y,2004,Female,1255|1407|1200
166,user_000166,TjqdEF,1966,Female,3386|364|663
167,user_000167,p43cWa,1983,Female,3515|3554|3861
168,user_000168,OHUlSQ,2005,Male,3591|1840|3755
169,user_000169,C8FZjf,1973,Female,1476|3752|1271
170,user_000170,vOOjLZ,1974,Male,260|1250|2176
171,user_000171,MB3tJk,1962,Male,1179|1617|2966
172,user_000172,Xve1zF,1955,Male,3334|3035|1284
173,user_000173,KmEjGL,1967,Other,2987|1222|2944
174,user_000174,Adkw74,1959,Male,3753|3578|1573
175,user_000175,VXMLEu,1980,Male,3083|3168|1060
176,user_000176,CS0sjR,1979,Female,3552|3391|2416
177,user_000177,X6gNTU,1984,Female,1291|1210|2677
178,user_000178,aVUmOW,2002,Female,2405|11|2015
179,user_000179,JMhqGx,2004,Male,1246|1090|541
180,user_000180,GXjU0Z,1976,Male,1193|2203|3360
181,user_000181,J4vAeK,1984,Female,1220|367|1200
182,user_000182,sk7lqO,1983,Female,1265|39|3753
183,user_000183,3qRwNy,1990,Female,2085|1197|11
184,user_000184,6M8Q1c,2000,Male,551|1|2083
185,user_000185,TGCFGk,1966,Male,1356|1918|1479
186,user_000186,No3Upi,1968,Male,1214|2805|3735
187,user_000187,4HTfdI,1980,Female,182|11|1704
188,user_000188,6tMKov,1998,Other,2976|3712|2959
189,user_000189,Yzt58G,1953,Male,593|2572|2762
190,user_000190,sdP0JD,1986,Male,1080|2745|2289
191,user_000191,hLcmW2,1958,Female,2329|1517|1732
192,user_000192,6wNNDd,1997,Male,1302|2804|3060
193,user_000193,Yh7ICq,2004,Male,2565|1546|2583
194,user_000194,57UqfZ,1950,Male,1580|1367|237
195,user_000195,dQFDxe,1953,Other,562|1944|2692
196,user_000196,H7hWgB,1982,Male,50|3751|1267
197,user_000197,VeiAe5,1956,Female,3147|2858|3538
198,user_000198,HBg3Vg,1974,Female,2099|2335|1275
199,user_000199,n53gZ6,1982,Male,2950|1358|1270
200,user_000200,HS87Ug,1963,Female,2572|1059|3408
201,user_000201,6FwKMX,1951,Female,3260|265|3079
202,user_000202,64j5Qs,1964,Male,1918|1620|1974
203,user_000203,1BAttz,1953,Male,1027|277|1061
204,user_000204,av2bbo,1977,Other,1246|151|1127
205,user_000205,b1KHcg,2005,Female,3267|3947|1270
206,user_000206,9JfYE7,1998,Male,480|2571|1274
207,user_000207,kugQAx,1998,Female,3555|3513|144
208,user_000208,Kk0e0D,1958,Female,480|3578|3706
209,user_000209,XW7R39,1975,Male,2671|356|1270
210,user_000210,6aG5xy,1996,Male,839|1388|1527
211,user_000211,wO7851,1956,Other,1286|3484|1097
212,user_000212,46FB9A,1990,Female,2174|231|1198
213,user_000213,Ur4umL,1954,Male,920|2622|2355
214,user_000214,LQBxBZ,1975,Male,1617|1784|3893
215,user_000215,86wGKe,2004,Male,3745|1097|1801
216,user_000216,MOYvmB,1960,Female,926|3655|2539
217,user_000217,DjugNx,1950,Male,3745|50|356
218,user_000218,HcR9du,1961,Female,233|2599|2763
219,user_000219,IEoRYj,1953,Male,223|2683|3863
220,user_000220,rXYZ93,1996,Female,101|541|1617
221,user_000221,81qK47,1956,Male,3499|3386|1589
222,user_000222,NYHjw5,2009,Male,2100|1372|1233
223,user_000223,0L7VoW,2000,Female,253|2002|1721
224,user_000224,g9CVfg,1994,Female,1500|17|2396
225,user_000225,ErcGqV,2006,Female,556|1484|3730
226,user_000226,sk1qx4,1971,Male,1079|2791|1307
227,user_000227,weePHv,1971,Other,2959|2693|2997
228,user_000228,aO6toA,1959,Male,3916|3952|480
229,user_000229,sbzwP1,1970,Female,1611|1916|778
230,user_000230,bd25BO,1956,Female,3755|1249|2384
231,user_000231,eHyT0c,1950,Female,3072|904|2571
232,user_000232,J8oghO,1992,Female,2700|1517|2355
233,user_000233,C1HmlO,1991,Male,3259|3751|1029
234,user_000234,wxchVk,1958,Female,1299|1242|2971
235,user_000235,zzseBT,1977,Male,1188|28|1267
236,user_000236,0KYD80,1974,Male,3793|2872|50
237,user_000237,6IeLe6,2000,Female,3686|356|1485
238,user_000238,sE1otP,1963,Female,1217|3098|3296
239,user_000239,j711J1,1978,Other,3261|2028|1960
240,user_000240,KYyKuA,1970,Female,1301|2762|1356
241,user_000241,dnqRJu,1950,Male,3576|1270|589
242,user_000242,Sp5kxR,1981,Female,69|2788|608
243,user_000243,6oCtyI,1999,Male,1079|1265|920
244,user_000244,zDcS70,1957,Male,648|3916|377
245,user_000245,9HDjkS,1989,Male,2728|3159|1259
246,user_000246,WoI1ut,1974,Male,2716|2144|2354
247,user_000247,wj9NpI,1977,Female,1263|3386|2020
248,user_000248,A40edj,2000,Female,1036|3510|160
249,user_000249,T6h1qX,1964,Male,377|2605|356
250,user_000250,msO5Jq,2003,Male,356|1249|1214
251,user_000251,a94VTY,1957,Male,553|594|1580
252,user_000252,k1IsKt,1990,Female,2912|3893|1129
253,user_000253,N9C6yk,1966,Male,608|593|296
254,user_000254,HU7lsn,1998,Other,1214|2654|3916
255,user_000255,JRNTsl,2009,Female,377|1246|2617
256,user_000256,pvoIBK,1983,Male,288|3178|42
257,user_000257,PhmrKj,2009,Female,474|1517|608
258,user_000258,l2Lhmt,1971,Other,1797|3107|3751
259,user_000259,hFXbhP,1981,Female,45|39|3735
260,user_000260,mRf9iO,1962,Male,2699|1240|1527
261,user_000261,r5UlUb,1978,Male,1090|1179|70
262,user_000262,NjWlKs,1979,Male,2872|1126|3175
263,user_000263,t7qKdY,1979,Female,912|3175|17
264,user_000264,o8SRVf,1999,Male,356|2571|1196
265,user_000265,6yfldS,1950,Male,1083|938|1193
266,user_000266,ELxe6E,1984,Female,527|1225|1307
267,user_000267,qrVBYE,1998,Male,2858|3831|265
268,user_000268,CJcS3v,1983,Female,3502|1917|266
269,user_000269,HIsC2j,2006,Female,3481|34|2908
270,user_000270,fqe0kA,1972,Male,3185|1248|1259
271,user_000271,Chklwn,1995,Female,1748|1028|1257
272,user_000272,5lK8pY,2003,Female,3360|362|2289
273,user_000273,f8b6FG,1971,Female,3147|1101|1517
274,user_000274,EFWTYm,1991,Female,3147|3526|2716
275,user_000275,wDOROJ,1964,Male,1270|2245|2858
276,user_000276,njfBmD,1966,Male,1234|951|480
277,user_000277,XWzvZ6,1976,Female,589|17|593
278,user_000278,TxdNhJ,2002,Female,3732|2148|2119
279,user_000279,nTTMKG,1954,Other,1196|110|3339
280,user_000280,TEMfUk,1954,Male,2321|3929|3341
281,user_000281,0xxGjr,1959,Female,1179|265|345
282,user_000282,H0o3ub,1985,Male,1610|454|1480
283,user_000283,E6H959,1972,Female,196|1051|648
284,user_000284,2cqtDW,1973,Male,1210|3552|593
285,user_000285,mUwFUt,1977,Female,3949|3424|1953
286,user_000286,DJAYrI,2000,Male,593|1198|260
287,user_000287,dV0ain,1963,Male,2501|2396|281
288,user_000288,CiCQ3a,1978,Female,1275|1196|3702
289,user_000289,WxxkmJ,1993,Other,3726|908|2917
290,user_000290,s54p9a,1997,Male,110|356|318
291,user_000291,wVnQJi,1992,Male,912|945|1228
292,user_000292,cmQ79d,1984,Female,1690|1653|1580
293,user_000293,QGfdAs,1974,Female,1296|1208|608
294,user_000294,68Cyvk,1995,Male,1914|1840|34
295,user_000295,EjLFEI,1982,Male,3121|3147|1196
296,user_000296,58DJom,1972,Female,2081|3273|2617
297,user_000297,kWXUgJ,1981,Female,1197|1265|1250
298,user_000298,lAW3u0,1955,Female,1249|3751|3624
299,user_000299,ofLkaC,1959,Female,246|928|1247
300,user_000300,rZqSeJ,1970,Female,3203|1294|2081
301,user_000301,50xE6X,2005,Male,908|783|3499
302,user_000302,OgQzLz,1951,Female,2947|231|3499
303,user_000303,BvLYuf,1977,Male,2394|1542|1179
304,user_000304,ZdWTm3,1973,Female,1617|1252|913
305,user_000305,sMaC6p,1971,Female,1947|2782|2565
306,user_000306,orxa08,1976,Other,673|589|3256
307,user_000307,YBi59H,1980,Female,1938|904|1785
308,user_000308,CI7Gkq,1956,Male,3943|915|2474
309,user_000309,8aTGq6,1950,Female,1393|350|1544
310,user_000310,bsrB4D,1950,Female,1233|1821|2
311,user_000311,14LgSh,2001,Other,260|527|1291
312,user_000312,296O08,1991,Male,296|1084|3735
313,user_000313,gX7cdX,1965,Female,3186|2858|3101
314,user_000314,FuNEvU,1952,Male,1907|965|3469
315,user_000315,8Jp8vS,1957,Male,903|3753|1196
316,user_000316,knRqqH,1962,Male,1372|2916|3354
317,user_000317,XBkBSj,1973,Male,1269|1225|912
318,user_000318,PFTP1v,1975,Other,1193|3176|2013
319,user_000319,25ALWc,1998,Male,150|3379|1187
320,user_000320,grHYWN,2009,Other,2858|804|3159
321,user_000321,tyMiBk,1985,Male,2822|778|1214
322,user_000322,fMFS87,1972,Female,3072|1307|2067
323,user_000323,l1IRf1,1985,Female,2840|924|913
324,user_000324,oBoyTs,1974,Female,1722|1374|3408
325,user_000325,gVtoPy,1976,Female,1569|1721|542
326,user_000326,tEoo82,1975,Female,2762|2100|2867
327,user_000327,Xo1cmD,1998,Male,3362|2673|778
328,user_000328,FQnR0S,1974,Female,780|1907|2571
329,user_000329,C0Isyq,1959,Female,247|2779|2599
330,user_000330,H7X2uN,1960,Female,2019|3355|909
331,user_000331,XD6MzN,2007,Female,422|3261|2915
332,user_000332,oQSKGK,1996,Female,2858|2291|708
333,user_000333,VW8VEU,1999,Female,3873|1085|1449
334,user_000334,fliQkK,1990,Male,3414|2396|1277
335,user_000335,UEZpKB,1959,Female,1234|1197|2013
336,user_000336,hrxHDs,2004,Other,3662|1097|541
337,user_000337,NRSamd,1996,Female,2273|170|595
338,user_000338,BhexWi,2005,Male,1220|165|490
339,user_000339,ZR0sAh,1996,Male,2020|2764|1949
340,user_000340,H8GjkR,1999,Male,941|3418|920
341,user_000341,d1laQn,1964,Male,949|1233|1249
342,user_000342,mge7YM,1984,Female,2407|1376|2858
343,user_000343,WBe0J0,1964,Female,2881|1339|2613
344,user_000344,H477zm,1990,Female,2716|1233|1262
345,user_000345,7pA3uA,1974,Male,1228|1213|1221
346,user_000346,JfNhNb,2009,Other,671|1246|1067
347,user_000347,L33y7D,1991,Male,3811|920|1957
348,user_000348,kTU6Fh,1956,Male,3873|780|1294
349,user_000349,MpQt0W,1980,Female,1200|555|1208
350,user_000350,sI1R6l,1993,Male,551|2006|589
351,user_000351,dMC2Nq,1992,Male,1235|2692|3148
352,user_000352,35TUyw,1952,Female,1198|260|1801
353,user_000353,a61OK2,2009,Female,2570|296|608
354,user_000354,ltBJKJ,1951,Female,908|110|2881
355,user_000355,tailrK,1974,Other,2496|1339|3952
356,user_000356,a0c4D7,1961,Male,480|253|3499
357,user_000357,91MW4H,1977,Male,1258|280|1222
358,user_000358,EkSK6m,1992,Female,2947|1019|2565
359,user_000359,BDpG3y,2001,Female,541|589|3101
360,user_000360,ao2A52,1980,Other,527|2013|1197
361,user_000361,kf9Ay5,1992,Male,3949|2858|661
362,user_000362,heHriA,1981,Female,3911|2692|377
363,user_000363,w00HBy,1959,Male,1282|1544|1466
364,user_000364,vLrIu0,1959,Male,3176|2395|2248
365,user_000365,z99UcS,2000,Female,3259|2762|1835
366,user_000366,e4X6p9,1954,Male,3035|908|1271
367,user_000367,GJS7Zz,1961,Male,3684|1947|1270
368,user_000368,jlj6Dw,1957,Male,318|832|1204
369,user_000369,U1QIZi,1981,Female,2431|1079|2406
370,user_000370,jDjQXK,1969,Female,3175|1210|2694
371,user_000371,LFt5m5,1954,Other,318|1077|1197
372,user_000372,gVGsY0,1986,Female,2161|3793|1240
373,user_000373,hd3THN,1957,Female,1200|110|1210
374,user_000374,hkRa2u,1950,Female,2571|608|2359
375,user_000375,KVN60m,1988,Male,1704|529|1954
376,user_000376,iso8YE,1962,Male,110|2987|924
377,user_000377,vq6UgO,1950,Male,745|965|1291
378,user_000378,lcqkPx,2005,Male,1|527|1635
379,user_000379,CAqMiA,1969,Female,260|920|2671
380,user_000380,Ey8ZAK,1957,Female,3261|3108|3114
381,user_000381,8eo76R,1996,Male,1175|3793|1210
382,user_000382,Vmrt4b,2009,Female,2797|3783|3569
383,user_000383,eKRkvp,1952,Female,920|807|3176
384,user_000384,am9YAM,1982,Male,1207|260|1201
385,user_000385,1yTTJ5,1978,Male,1240|861|1356
386,user_000386,SEh2mI,2003,Female,1449|1704|2282
387,user_000387,owWSdm,1956,Female,1300|3022|468
388,user_000388,gtuKWR,1966,Female,1185|1258|3101
389,user_000389,QJkiyX,1957,Female,2762|1265|595
390,user_000390,ATeDJl,2002,Female,3637|3289|1285
391,user_000391,NgwIG3,1968,Other,1248|942|164
392,user_000392,mEJXT1,1978,Female,2918|1608|1259
393,user_000393,BOQo5W,1999,Female,3543|1041|2599
394,user_000394,QiairY,1951,Female,1552|3300|589
395,user_000395,xdUv8n,1997,Male,1552|1923|2858
396,user_000396,UKcD13,2007,Female,1914|2300|1542
397,user_000397,iZnrLy,1965,Male,1036|2858|1270
398,user_000398,312iuE,1982,Female,3551|2858|1589
399,user_000399,uLpXjZ,1958,Female,3175|2355|2762
400,user_000400,aLmbBT,1996,Male,1213|2145|1270
401,user_000401,VyD3n1,2003,Female,3107|999|1246
402,user_000402,ptflix,1963,Male,3536|1225|1231
403,user_000403,EoQOCo,1989,Male,2028|3005|1552
404,user_000404,HP7HA5,1958,Female,1060|1446|1132
405,user_000405,FJcW0S,2003,Female,516|2375|910
406,user_000406,1NYwSO,1991,Female,1270|2745|1376
407,user_000407,nmWCDR,2004,Male,2791|1259|1210
408,user_000408,Cf5M7K,1976,Male,955|1247|1090
409,user_000409,R3nZVx,1960,Male,3210|36|2716
410,user_000410,naMmpF,1982,Male,1747|2915|3450
411,user_000411,Y3apUO,1960,Male,1104|21|1949
412,user_000412,zdxhfd,2007,Male,2165|3361|1777
413,user_000413,p5FgrJ,1991,Male,2046|36|1101
414,user_000414,Sybdee,1950,Male,1269|1210|1196
415,user_000415,AJCALu,1970,Female,928|1274|945
416,user_000416,JQh2bm,1983,Male,2987|2605|2541
417,user_000417,OUsbjE,1954,Male,260|1274|3044
418,user_000418,yEWiTc,1956,Male,3916|457|969
419,user_000419,pavkxY,1951,Male,1282|912|3155
420,user_000420,pTEC8H,1981,Female,2396|1080|745
421,user_000421,IfxIRg,2000,Female,1210|3005|380
422,user_000422,1q8jp7,2009,Male,3863|1077|1617
423,user_000423,FzYPck,1992,Female,2676|2692|2396
424,user_000424,qEGTwJ,1988,Female,2018|3699|2990
425,user_000425,4fNTNh,1963,Other,1263|1299|1663
426,user_000426,HxVzaj,1992,Male,648|466|1222
427,user_000427,xQt8wG,1963,Male,2791|2628|589
428,user_000428,RVFdYg,1996,Male,3625|1884|318
429,user_000429,YwKMw0,1991,Female,1912|3825|1259
430,user_000430,yVcWmc,1988,Female,440|1721|1226
431,user_000431,wcWeqj,1978,Male,2858|110|2394
432,user_000432,LveGBr,1986,Male,377|236|838
433,user_000433,TMjBGK,1977,Male,1288|1294|339
434,user_000434,IVQps4,1953,Female,2946|909|919
435,user_000435,tIt0sF,1979,Male,1291|3062|2947
436,user_000436,4DrnOj,1996,Male,260|2140|1198
437,user_000437,aa1Kul,1966,Female,720|1090|1299
438,user_000438,SVom8o,1996,Female,1747|1297|2797
439,user_000439,2oUDhz,1959,Other,1198|1210|1247
440,user_000440,WVKAHw,1955,Female,11|110|1193
441,user_000441,EMCucr,1999,Female,1266|1198|296
442,user_000442,6Keud3,1962,Male,1263|223|2268
443,user_000443,GDt6mc,1987,Female,50|999|969
444,user_000444,9nxCyW,1991,Female,1419|1294|838
445,user_000445,fm3NwN,1956,Other,2762|908|3114
446,user_000446,jAJ7AY,1962,Male,515|745|3204
447,user_000447,0tQLp9,1980,Male,527|1029|2085
448,user_000448,wCtAkH,2008,Female,440|2028|2908
449,user_000449,yf57Eb,1950,Other,2140|2105|2628
450,user_000450,y56by4,1950,Female,2384|1219|2028
451,user_000451,ZXIDHY,2001,Male,920|2019|1333
452,user_000452,VcZJyx,1966,Other,2792|1339|296
453,user_000453,5Wthdp,2005,Male,3578|1077|3868
454,user_000454,x3fIlY,1959,Female,3147|2150|778
455,user_000455,9E9Ft5,1966,Female,1198|3363|2858
456,user_000456,dB5pjL,1966,Female,110|1276|1291
457,user_000457,vxaLix,1994,Male,1246|1196|1245
458,user_000458,gRWuDA,1970,Male,952|1250|1092
459,user_000459,5Lbu0B,1978,Female,2706|2485|2541
460,user_000460,l4aEVz,1995,Female,2359|3175|1394
461,user_000461,Nk2JLD,1956,Male,1019|3868|527
462,user_000462,3i836p,1999,Male,2184|908|104
463,user_000463,3bx8IE,1978,Male,3671|1079|2015
464,user_000464,IthQbO,1964,Male,296|2697|1208
465,user_000465,256rgf,1952,Male,2997|1089|162
466,user_000466,4I7ViJ,2007,Male,2718|3773|2847
467,user_000467,xWiKNL,1953,Other,527|3259|593
468,user_000468,sQSLH2,1983,Female,3668|911|3699
469,user_000469,oMKvr8,1960,Other,1284|926|1276
470,user_000470,vZPsN9,1991,Male,1031|3361|2096
471,user_000471,fSJnX9,1979,Female,32|3481|3175
472,user_000472,CAC1lE,1961,Female,318|1214|1233
473,user_000473,9Pdi7E,1974,Female,2018|907|945
474,user_000474,bn6upb,1997,Female,2124|1312|333
475,user_000475,yZTIfF,1990,Female,2448|2407|1194
476,user_000476,kshbZX,1955,Male,2683|3248|2015
477,user_000477,WXZIau,1964,Other,260|1954|480
478,user_000478,1SiF4E,1968,Male,1|1704|2858
479,user_000479,egqgXg,1965,Female,2716|1307|1580
480,user_000480,kcDsoz,1972,Female,3147|318|3624
481,user_000481,hcXcRs,1963,Male,2795|933|3769
482,user_000482,TWNSyN,1965,Male,2401|2424|3844
483,user_000483,a8NCDl,1962,Male,593|1265|2761
484,user_000484,C0lvgo,1979,Male,3615|661|2394
485,user_000485,Wv9Hfm,1960,Male,1294|1198|2396
486,user_000486,wD4beB,1980,Female,2692|1704|318
487,user_000487,FEAm7s,1960,Male,969|1269|1094
488,user_000488,RjFDqZ,2000,Female,1240|1196|741
489,user_000489,trzQh9,1996,Female,858|2804|1193
490,user_000490,oBfCLE,2004,Female,595|1544|919
491,user_000491,a4Z4hq,2008,Male,1242|2997|1408
492,user_000492,FHyg8V,1969,Female,593|2694|2174
493,user_000493,W7FQ8o,1993,Female,271|326|306
494,user_000494,JZgBIL,1986,Male,765|2031|2405
